"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop

 China ,"80,844", +20 ," 3,199 ",+10 ,"66,912 "," 10,733 ","3,226 ",56.2
 Italy ,"21,157", ," 1,441 ", ,"1,966 "," 17,750 ","1,518 ",349.9
 Iran ,"12,729", , 611 , ,"4,339 "," 7,779 ", ,151.5
 S. Korea ,"8,162", +76 , 75 ,+3 ,834 ," 7,253 ",59 ,159.2
 Spain ,"6,391", , 196 , ,517 ," 5,678 ",272 ,136.7
 Germany ,"4,599", , 9 , ,46 ," 4,544 ",9 ,54.9
 France ,"4,469", , 91 , ,12 ," 4,366 ",300 ,68.5
 USA ,"2,976", +33 , 60 ,+3 ,56 ," 2,860 ",10 ,9.0
 Switzerland ,"1,375", , 13 , ,4 ," 1,358 ", ,158.9
 UK ,"1,140", , 21 , ,18 ," 1,101 ",20 ,16.8
 Norway ,"1,109", , 3 , ,1 ," 1,105 ",27 ,204.6
 Sweden ,961, , 2 , ,1 , 958 ,2 ,95.2
 Netherlands ,959, , 12 , ,2 , 945 ,45 ,56.0
 Denmark ,836, , 1 , ,1 , 834 ,2 ,144.3
 Japan ,804, , 22 , ,144 , 638 ,35 ,6.4
 Diamond Princess ,696, , 7 , ,456 , 233 ,15 ,
 Belgium ,689, , 4 , ,1 , 684 ,24 ,59.4
 Austria ,655, , 1 , ,6 , 648 ,1 ,72.7
 Qatar ,337, , , ,4 , 333 , ,117.0
 Canada ,252, , 1 , ,11 , 240 ,1 ,6.7
 Australia ,248, , 3 , ,27 , 218 ,1 ,9.7
 Malaysia ,238, , , ,35 , 203 ,4 ,7.4
 Greece ,228, , 3 , ,8 , 217 ,5 ,21.9
 Finland ,225, , , ,10 , 215 , ,40.6
 Bahrain ,212, , , ,60 , 152 ,2 ,124.6
 Singapore ,212, , , ,105 , 107 ,11 ,36.2
 Israel ,193, , , ,4 , 189 ,3 ,22.3
 Czechia ,189, , , , , 189 ,2 ,17.6
